
2023/02/13 (21:29:42) | ===> btop++ v.1.2.13
2023/02/13 (21:29:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/14 (15:27:57) | ===> btop++ v.1.2.13
2023/02/14 (15:27:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/14 (16:08:42) | ===> btop++ v.1.2.13
2023/02/14 (16:08:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/14 (16:08:52) | ===> btop++ v.1.2.13
2023/02/14 (16:08:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/14 (16:10:41) | ===> btop++ v.1.2.13
2023/02/14 (16:10:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/14 (17:18:54) | ===> btop++ v.1.2.13
2023/02/14 (17:18:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/15 (10:51:07) | ===> btop++ v.1.2.13
2023/02/15 (10:51:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/15 (11:16:42) | ===> btop++ v.1.2.13
2023/02/15 (11:16:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/15 (16:01:06) | ===> btop++ v.1.2.13
2023/02/15 (16:01:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/15 (16:01:11) | ===> btop++ v.1.2.13
2023/02/15 (16:01:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/15 (21:34:00) | ===> btop++ v.1.2.13
2023/02/15 (21:34:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/16 (12:25:53) | ===> btop++ v.1.2.13
2023/02/16 (12:25:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/16 (12:39:42) | ===> btop++ v.1.2.13
2023/02/16 (12:39:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/17 (13:46:05) | ===> btop++ v.1.2.13
2023/02/17 (13:46:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/17 (14:14:08) | ===> btop++ v.1.2.13
2023/02/17 (14:14:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/17 (16:45:44) | ===> btop++ v.1.2.13
2023/02/17 (16:45:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/18 (10:23:09) | ===> btop++ v.1.2.13
2023/02/18 (10:23:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/22 (00:51:30) | ===> btop++ v.1.2.13
2023/02/22 (00:51:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/25 (12:37:06) | ===> btop++ v.1.2.13
2023/02/25 (12:37:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/02/26 (00:57:44) | ===> btop++ v.1.2.13
2023/02/26 (00:57:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/01 (12:08:46) | ===> btop++ v.1.2.13
2023/03/01 (12:08:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/03 (10:49:17) | ===> btop++ v.1.2.13
2023/03/03 (10:49:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/06 (10:22:37) | ===> btop++ v.1.2.13
2023/03/06 (10:22:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/06 (10:29:39) | ===> btop++ v.1.2.13
2023/03/06 (10:29:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/06 (11:00:42) | ===> btop++ v.1.2.13
2023/03/06 (11:00:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/10 (21:32:10) | ===> btop++ v.1.2.13
2023/03/10 (21:32:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/12 (14:50:28) | ===> btop++ v.1.2.13
2023/03/12 (14:50:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
